name,county,sosid
Columbia Drive,DeKalb,089CA
Canby Lane Elem,DeKalb,089CB
Columbia Elem,DeKalb,089CC
Cedar Grove Elem,DeKalb,089CD
Chamblee,DeKalb,089CE
Candler-Murphey Candler Elem,DeKalb,089CF
Chapel Hill Elem,DeKalb,089CG
Chesnut Elem,DeKalb,089CH
Clairemont West,DeKalb,089CI
Clairmont Road,DeKalb,089CJ
Clarkston,DeKalb,089CK
Clifton,DeKalb,089CL
Columbia Middle,DeKalb,089CM
Coan Recreation Center,DeKalb,089WC
Cross Keys High,DeKalb,089CO
Crossroads,DeKalb,089CP
Candler,DeKalb,089CQ
Cedar Grove Middle,DeKalb,089CR
Cedar Grove South,DeKalb,089CS
Covington Hwy,DeKalb,089CT
Covington,DeKalb,089CU
Clairemont East,DeKalb,089CV
Coralwood,DeKalb,089CW
Candler Park,DeKalb,089CXA
Clarkston Community Center,DeKalb,089CY
Chamblee 2,DeKalb,089CXB
Doraville North,DeKalb,089DA
Doraville South,DeKalb,089DB
Dresden Elem,DeKalb,089DC
Decatur,DeKalb,089DD
Dunaire Elem,DeKalb,089DE
Dunwoody,DeKalb,089DF
Dunwoody 2,DeKalb,089DG
Druid Hills High,DeKalb,089DH
Dunwoody Library,DeKalb,089DI
East Lake,DeKalb,089EA
Embry Hills,DeKalb,089EC
Evansdale Elem,DeKalb,089EF
Emory South,DeKalb,089EG
Emory Road,DeKalb,089ER
Fairington Elem,DeKalb,089FA
Fernbank Elem,DeKalb,089FB
Flat Shoals Elem,DeKalb,089FC
Flat Shoals Parkway,DeKalb,089FE
Flat Rock Elem,DeKalb,089FG
Flat Shoals,DeKalb,089FJ
Flakes Mill Fire Station,DeKalb,089FK
Flat Shoals Library,DeKalb,089FL
Freedom Middle,DeKalb,089FM
Glennwood,DeKalb,089GA
Glenhaven,DeKalb,089GB
Gresham Road,DeKalb,089GC
Georgetown Sq,DeKalb,089GD
Glenwood Road,DeKalb,089GF
Hambrick Elem,DeKalb,089HA
Hawthorne Elem,DeKalb,089HB
Henderson Mill,DeKalb,089HC
Huntley Hills Elem,DeKalb,089HF
Hugh Howell,DeKalb,089HG
Harris-Narvie J Harris Elem,DeKalb,089HH
Harris-Margaret Harris ED,DeKalb,089HI
Idlewood Elem,DeKalb,089IA
Indian Creek,DeKalb,089IB
Johnson Estates,DeKalb,089JA
Jolly Elem,DeKalb,089JB
Kelley Lake Elem,DeKalb,089KA
Kingsley Elem,DeKalb,089KB
Kelley Chapel Road,DeKalb,089KC
Knollwood,DeKalb,089KE
Kittredge Elem,DeKalb,089KG
Lakeside High,DeKalb,089LA
Lavista Road,DeKalb,089LB
Lavista,DeKalb,089LC
Lithonia,DeKalb,089LD
Lin-Mary Lin Elem,DeKalb,089LE
Lithonia High,DeKalb,089LH
Livsey Elem,DeKalb,089LV
Miller-Eldridge L Miller Elem,DeKalb,089MA
McNair High,DeKalb,089MB
Marbut Elem,DeKalb,089MC
McNair,DeKalb,089MD
McLendon,DeKalb,089ME
McWilliams,DeKalb,089MF
Medlock,DeKalb,089MG
Midvale Elem,DeKalb,089MH
Miller Grove,DeKalb,089MI
Montclair Elem,DeKalb,089MJ
Montreal,DeKalb,089MK
Meadowview,DeKalb,089ML
Memorial South,DeKalb,089MN
Midway,DeKalb,089MO
McNair Academy,DeKalb,089MP
Mount Vernon East,DeKalb,089MQ
Mathis-Bob Mathis Elem,DeKalb,089MR
Mount Vernon West,DeKalb,089MS
Metropolitan,DeKalb,089MT
Montgomery Elem,DeKalb,089MU
Miller Grove Road,DeKalb,089MV
Midvale Road,DeKalb,089MW
Miller Grove High,DeKalb,089MZ
North Decatur,DeKalb,089NB
North Hairston,DeKalb,089NC
Northlake,DeKalb,089ND
North Peachtree,DeKalb,089NF
Oak Grove Elem,DeKalb,089OA
Oakcliff Elem,DeKalb,089OB
Oakhurst,DeKalb,089OK
Oak View Elem,DeKalb,089OV
Peachcrest,DeKalb,089PA
Peachtree Middle,DeKalb,089PB
Princeton Elem,DeKalb,089PC
Pine Lake,DeKalb,089PE
Pleasantdale Road,DeKalb,089PF
Ponce de Leon,DeKalb,089PG
Panola,DeKalb,089PH
Panola Way Elem,DeKalb,089PI
Piney Grove,DeKalb,089PN
Panola Road,DeKalb,089PR
Rainbow Elem,DeKalb,089RA
Redan Elem,DeKalb,089RC
Rehoboth,DeKalb,089RD
Rockbridge Elem,DeKalb,089RE
Rock Chapel Elem,DeKalb,089RF
Rowland Elem,DeKalb,089RG
Redan-Trotti Library,DeKalb,089RH
Rockbridge Road,DeKalb,089RI
Rowland Road,DeKalb,089RJ
Redan Road,DeKalb,089RK
Rock Chapel Road,DeKalb,089RL
Redan Middle,DeKalb,089RM
Sagamore Hills Elem,DeKalb,089SA
Scott,DeKalb,089SB
Shaw-Robert Shaw Elem,DeKalb,089SC
Stone Mountain Elem,DeKalb,089SD
Silver Lake,DeKalb,089SE
Skyland,DeKalb,089SF
Snapfinger Elem,DeKalb,089SG
Smoke Rise,DeKalb,089SH
Stone Mtn Middle,DeKalb,089SI
Stone Mill Elem,DeKalb,089SJ
Shadow Rock Elem,DeKalb,089SK
Stoneview Elem,DeKalb,089SL
Salem Middle,DeKalb,089SM
Shamrock,DeKalb,089SN
South Deshon,DeKalb,089SO
Stone Mtn Champion,DeKalb,089SP
Stone Mtn,DeKalb,089SQ
Snapfinger Road N,DeKalb,089SR
Snapfinger Road S,DeKalb,089SS
Stephenson Middle,DeKalb,089ST
South Hairston,DeKalb,089SU
Stephenson High,DeKalb,089SV
Stonecrest Library,DeKalb,089SW
Snapfinger Road,DeKalb,089SY
Terry Mill,DeKalb,089TA
Toney Elem,DeKalb,089TC
Tucker Library,DeKalb,089TH
Tilly Mill Road,DeKalb,089TG
Tucker,DeKalb,089TF
Valley Brook,DeKalb,089VB
